プリサイスエンド,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,Precisely,Summing,Verbatim,Speak John
,,,,Well Kept
,,,Sumatra,Groton
,,,,Sunda Strait
,,Crisp 'n Clear,Cold Reception,Secretariat
,,,,Cold Comfort
,,,Ring O'Bells,Grey Dawn
,,,,Aldonza
ドナメジャー,ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,スカーレットブーケ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,スカーレットインク,Crimson Satan
,,,,Consentida
,メイショウマキバコ,ヤマニンゼファー,ニホンピロウイナー,スティールハート
,,,,ニホンピロエバート
,,,ヤマニンポリシー,Blushing Groom
,,,,ヤマホウユウ
,,メイショウサユリ,ラッキーソブリン,Nijinsky
,,,,Sovereign
,,,フアビユリシマ,Le Fabuleux
,,,,ラシアマード
