ブラックタイド,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
エクセレントビュー,チチカステナンゴ,Smadoun,Kaldoun,Caro
,,,,Katana
,,,Mossma,Tip Moss
,,,,Ticma
,,スマラ,Antheus,Northern Dancer
,,,,Apachee
,,,Small Partie,Fabulous Dancer
,,,,Summer Parties
,トップエクセレント,アグネスタキオン,サンデーサイレンス,Halo
,,,,Wishing Well
,,,アグネスフローラ,ロイヤルスキー
,,,,アグネスレディー
,,ファイトガリバー,ダイナガリバー,ノーザンテースト
,,,,ユアースポート
,,,ビューティマリヤ,トライバルチーフ
,,,,チュウオーマリヤ
