ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ニキーヤ,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Reluctant Guest,Hostage,Nijinsky
,,,,Entente
,,,Vaguely Royal,Vaguely Noble
,,,,Shoshanna
ラグジャリークラス,Gone West,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Secrettame,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Tamerett,Tim Tam
,,,,Mixed Marriage
,Gourmet Girl,Cee's Tizzy,Relaunch,In Reality
,,,,Foggy Note
,,,テイズリー,Lyphard
,,,,Tizna
,,Rhondaling,Welsh Pageant,Tudor Melody
,,,,Picture Light
,,,Touch Of Class,Luthier
,,,,La Theve
