サウスヴィグラス,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,ダーケストスター,Star de Naskra,Naskra,Nasram
,,,,Iskra
,,,Candle Star,Clandestine
,,,,Star Minstrel
,,Minnie Riperton,Cornish Prince,Bold Ruler
,,,,Teleran
,,,English Harbor,War Admiral
,,,,Level Sands
マオリオ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ジョウノファミリー,キングカメハメハ,Kingmambo,Mr. Prospector
,,,,Miesque
,,,マンファス,ラストタイクーン
,,,,Pilot Bird
,,エビスファミリー,ブライアンズタイム,Roberto
,,,,Kelley's Day
,,,エビスベローチエ,ヴェンチア
,,,,ヤマユリ
