ベルシャザール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,マルカキャンディ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ジーナロマンティカ,セクレト,Northern Dancer
,,,,Betty's Secret
,,,Waya,Faraway Son
,,,,War Path
シャインワンハート,ファルブラヴ,Fairy King,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Gift of the Night,Slewpy,Seattle Slew
,,,,Rare Bouquet
,,,Little Nana,Lithiot
,,,,Nenana Road
,シャインセレブ,クロフネ,フレンチデピュティ,Deputy Minister
,,,,Mitterand
,,,ブルーアヴェニュー,Classic Go Go
,,,,Eliza Blue
,,マンハッタンセレブ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,サトルチェンジ,Law Society
,,,,Santa Luciana
