グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Gris Vitesse,Amerigo,Nearco
,,,,Sanlinea
,,,Matchiche,Mat de Cocagne
,,,,Chimere Fabuleuse
,Ameriflora,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Graceful Touch,His Majesty,Ribot
,,,,Flower Bowl
,,,Pi Phi Gal,Raise a Native
,,,,Soaring
キューティホーク,トウカイテイオー,シンボリルドルフ,パーソロン,Milesian
,,,,Paleo
,,,スイートルナ,スピードシンボリ
,,,,ダンスタイム
,,トウカイナチュラル,ナイスダンサー,Northern Dancer
,,,,Nice Princess
,,,トウカイミドリ,ファバージ
,,,,トウカイクイン
,オーロラテルコ,ミスターシービー,トウショウボーイ,テスコボーイ
,,,,ソシアルバターフライ
,,,シービークイン,トピオ
,,,,メイドウ
,,オーロラシロー,シンザン,ヒンドスタン
,,,,ハヤノボリ
,,,ヤノセイラン,タニノムーティエ
,,,,レデイロック
