ワークフォース,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,Soviet Moon,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Eva Luna,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Media Luna,Star Appeal
,,,,Sounion
ボーシュヴァル,ゼンノロブロイ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ローミンレイチェル,マイニング,Mr. Prospector
,,,,I Pass
,,,One Smart Lady,Clever Trick
,,,,Pia's Lady
,ヒシシルバーメイド,Silver Deputy,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Silver Valley,Mr. Prospector
,,,,Seven Valleys
,,ヒシアマゾン,Theatrical,Nureyev
,,,,ツリーオブノレッジ
,,,Katies,ノノアルコ
,,,,Mortefontaine
