ワールドエース,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,マンデラ,Acatenango,Surumu,Literat
,,,,Surama
,,,Aggravate,Aggressor
,,,,Raven Locks
,,Mandellicht,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Mandelauge,Elektrant
,,,,Mandriale
ノボキッス,フレンチデピュティ,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Mitterand,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Laredo Lass,Bold Ruler
,,,,Fortunate Isle
,ライズキッス,Dayjur,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Gold Beauty,Mr. Prospector
,,,,Stick to Beauty
,,Take Lady Anne,Queen City Lad,Olden Times
,,,,Queen City Miss
,,,Lovita H.,Take Away
,,,,Miss Fiddle
