スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,Sheer Ice,Cutlass,Damascus,Sword Dancer
,,,,Kerala
,,,Aphonia,Dunce
,,,,Gambetta
,,Hey Dolly A.,Ambehaving,Ambiorix
,,,,Dentifrice
,,,Swift Deal,Native Charger
,,,,Miss Barter
エコパン,ツルマルボーイ,ダンスインザダーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ダンシングキイ,Nijinsky
,,,,Key Partner
,,ツルマルガール,サッカーボーイ,ディクタス
,,,,ダイナサッシュ
,,,エプソムガール,アローエクスプレス
,,,,ゲシー
,サンデーファスト,Slew o' Gold,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Alluvial,Buckpasser
,,,,Bayou
,,ハートブレイク,Stage Door Johnny,Prince John
,,,,Peroxide Blonde
,,,Royal Folly,Tom Fool
,,,,Golden Sari
