ディープブリランテ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,ラヴアンドバブルズ,Loup Sauvage,Riverman,Never Bend
,,,,River Lady
,,,Louveterie,Nureyev
,,,,Lupe
,,バブルドリーム,Akarad,Labus
,,,,Licata
,,,バブルプロスペクター,Miswaki
,,,,バブルカンパニー
シルヴィルージュ,アドマイヤコジーン,Cozzene,Caro,フォルティノ
,,,,Chambord
,,,Ride the Trails,Prince John
,,,,Wildwook
,,アドマイヤマカディ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ミセスマカディー,トライバルチーフ
,,,,Hanina
,フレンチアイドル,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,スティンガー,サンデーサイレンス,Halo
,,,,Wishing Well
,,,レガシーオブストレングス,Affirmed
,,,,Katonka
