フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
ジャーメイン,アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,マイケイティーズ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ケイティーズファースト,Kris
,,,,Katies
,フェリシタス,キングズベスト,Kingmambo,Mr. Prospector
,,,,Miesque
,,,Allegretta,Lombard
,,,,Anatevka
,,Embassy,Cadeaux Genereux,Young Generation
,,,,Smarten Up
,,,Pass the Peace,Alzao
,,,,Lover's Rose
