エピファネイア,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,シーザリオ,スペシャルウィーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,キャンペンガール,マルゼンスキー
,,,,レディーシラオキ
,,キロフプリミエール,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Querida,Habitat
,,,,Principia
ウィルダネスストーム,Storm Cat,Storm Bird,Northern Dancer,Nearctic
,,,,Natalma
,,,South Ocean,New Providence
,,,,Shining Sun
,,Terlingua,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Crimson Saint,Crimson Satan
,,,,Bolero Rose
,Wilderness Song,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Nalee's Rhythm,Nalees Man,Gallant Man
,,,,Nalee
,,,Lady Rhythm,Mister Jive
,,,,Miss Kansulin
