エピファネイア,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,シーザリオ,スペシャルウィーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,キャンペンガール,マルゼンスキー
,,,,レディーシラオキ
,,キロフプリミエール,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Querida,Habitat
,,,,Principia
ブライトアバンダンス,Quiet American,Fappiano,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Killaloe,Dr. Fager
,,,,Grand Splendor
,,Demure,Dr. Fager,Rough'n Tumble
,,,,Aspidistra
,,,Quiet Charm,Nearctic
,,,,Cequillo
,Quality Gift,ラストタイクーン,トライマイベスト,Northern Dancer
,,,,Sex Appeal
,,,Mill Princess,Mill Reef
,,,,Irish Lass
,,Manntika,Kalamoun,ゼダーン
,,,,Khairunissa
,,,Manushka,Sheshoon
,,,,Manush
