"horse_name","percentage"
"アドマイヤオーラ","0.5"
"アグネスタキオン","0.25"
"サンデーサイレンス","0.125"
"Halo","0.125"
"Hail to Reason","0.11328125"
"Cosmah","0.0625"
"Wishing Well","0.0625"
"Understanding","0.03125"
"Mountain Flower","0.03125"
"アグネスフローラ","0.125"
"ロイヤルスキー","0.0625"
"Raja Baba","0.03125"
"Coz o'Nijinsky","0.03125"
"アグネスレディー","0.0625"
"リマンド","0.03125"
"イコマエイカン","0.03125"
"ビワハイジ","0.25"
"Caerleon","0.125"
"Nijinsky","0.0625"
"Northern Dancer","0.03125"
"Flaming Page","0.03125"
"Foreseer","0.0625"
"Round Table","0.03515625"
"Regal Gleam","0.03125"
"アグサン","0.125"
"Lord Gayle","0.0625"
"Sir Gaylord","0.03125"
"Sticky Case","0.03125"
"Santa Luciana","0.0625"
"Luciano","0.03125"
"Suleika","0.03125"
"ホシニイノリヲ","0.5"
"シンボリクリスエス","0.25"
"Kris S.","0.125"
"Roberto","0.0625"
"Bramalea","0.03125"
"Sharp Queen","0.0625"
"Princequillo","0.056640625"
"Bridgework","0.03125"
"Tee Kay","0.125"
"Gold Meridian","0.0625"
"Seattle Slew","0.03125"
"Queen Louie","0.03125"
"Tri Argo","0.0625"
"Tri Jet","0.03125"
"Hail Proudly","0.03125"
"コンキスタドレス","0.25"
"Seeking the Gold","0.125"
"Mr. Prospector","0.0625"
"Raise a Native","0.03125"
"Gold Digger","0.03125"
"Con Game","0.0625"
"Buckpasser","0.03125"
"Broadway","0.03125"
"Bless You","0.125"
"Wedding Party","0.0625"
"Hoist the Flag","0.03125"
"Betrothed","0.03125"
"Turn-to","0.119140625"
"Royal Charger","0.0673828125"
"Nearco","0.05859375"
"Pharos","0.046875"
"Phalaris","0.0419921875"
"Scapa Flow","0.0244140625"
"Nogara","0.0283203125"
"Havresac","0.013671875"
"Catnip","0.0126953125"
"Sun Princess","0.033203125"
"Solario","0.01953125"
"Gainsborough","0.033203125"
"Sun Worship","0.0087890625"
"Mumtaz Begum","0.0322265625"
"Blenheim","0.033203125"
"Mumtaz Mahal","0.021484375"
"Source Sucree","0.0595703125"
"Admiral Drake","0.029296875"
"Craig an Eran","0.0146484375"
"Sunstar","0.01171875"
"Maid of the Mist","0.0068359375"
"Plucky Liege","0.041015625"
"Spearmint","0.0244140625"
"Concertina","0.0185546875"
"Lavendula","0.03125"
"Sweet Lavender","0.015625"
"Swynford","0.0224609375"
"Marchetta","0.0078125"
"Nothirdchance","0.103515625"
"Blue Swords","0.0517578125"
"Blue Larkspur","0.0498046875"
"Black Servant","0.0244140625"
"Black Toney","0.0146484375"
"Padula","0.01171875"
"Blossom Time","0.0244140625"
"North Star","0.0146484375"
"Vaila","0.0107421875"
"Flaming Swords","0.025390625"
"Man o'War","0.0400390625"
"Fair Play","0.017578125"
"Mahubah","0.013671875"
"Exalted","0.0126953125"
"High Time","0.0068359375"
"Lady Comfey","0.0078125"
"Galla Colors","0.0517578125"
"Sir Gallahad","0.029296875"
"Teddy","0.0400390625"
"Ajax","0.015625"
"Rondeau","0.015625"
