"horse_name","percentage"
"アドマイヤマックス","0.5"
"サンデーサイレンス","0.25"
"Halo","0.125"
"Hail to Reason","0.0625"
"Turn-to","0.03125"
"Nothirdchance","0.03125"
"Cosmah","0.0625"
"Cosmic Bomb","0.03125"
"Almahmoud","0.09375"
"Wishing Well","0.125"
"Understanding","0.0625"
"Promised Land","0.03125"
"Pretty Ways","0.03125"
"Mountain Flower","0.0625"
"Montparnasse","0.03125"
"Edelweiss","0.03125"
"ダイナシュート","0.25"
"ノーザンテースト","0.125"
"Northern Dancer","0.125"
"Nearctic","0.0625"
"Natalma","0.0625"
"Lady Victoria","0.0625"
"Victoria Park","0.03125"
"Lady Angela","0.09375"
"シヤダイマイン","0.125"
"ヒッティングアウェー","0.0625"
"Ambiorix","0.03125"
"Striking","0.03125"
"ファンシミン","0.0625"
"Determine","0.03125"
"Fanciful Miss","0.03125"
"ケイティローレル","0.5"
"サクラローレル","0.25"
"Rainbow Quest","0.125"
"Blushing Groom","0.0625"
"Red God","0.03125"
"Runaway Bride","0.03125"
"I Will Follow","0.0625"
"Herbager","0.03125"
"Where You Lead","0.03125"
"ローラローラ","0.125"
"Saint Cyrien","0.0625"
"Luthier","0.03125"
"Sevres","0.03125"
"Bold Lady","0.0625"
"ボールドラツド","0.03125"
"Tredam","0.03125"
"ビーマイファイア","0.25"
"Be My Guest","0.125"
"What a Treat","0.0625"
"Tudor Minstrel","0.0390625"
"Rare Treat","0.03125"
"Fire and Ice","0.125"
"Reliance","0.0625"
"Tantieme","0.03125"
"Relance","0.03125"
"Glorifying","0.0625"
"Ribot","0.03125"
"Glamour","0.03125"
"Royal Charger","0.015625"
"Nearco","0.08984375"
"Pharos","0.0712890625"
"Phalaris","0.0546875"
"Polymelus","0.0263671875"
"Bromus","0.021484375"
"Scapa Flow","0.037109375"
"Chaucer","0.0400390625"
"Anchora","0.0166015625"
"Nogara","0.044921875"
"Havresac","0.021484375"
"Rabelais","0.01953125"
"Hors Concours","0.009765625"
"Catnip","0.021484375"
"Spearmint","0.025390625"
"Sibola","0.009765625"
"Sun Princess","0.0078125"
"Solario","0.0078125"
"Gainsborough","0.0595703125"
"Bayardo","0.029296875"
"Rosedrop","0.02734375"
"Sun Worship","0.0029296875"
"Sundridge","0.0087890625"
"Doctrine","0.0009765625"
"Mumtaz Begum","0.017578125"
"Blenheim","0.044921875"
"Blandford","0.0322265625"
"Malva","0.0224609375"
"Mumtaz Mahal","0.025390625"
"The Tetrarch","0.0205078125"
"Lady Josephine","0.017578125"
"Source Sucree","0.015625"
"Admiral Drake","0.0078125"
"Craig an Eran","0.00390625"
"Sunstar","0.0087890625"
"Doris","0.0029296875"
"Maid of the Mist","0.00390625"
"Cyllene","0.01171875"
"Sceptre","0.0009765625"
"Plucky Liege","0.0146484375"
"Carbine","0.0078125"
"Maid of the Mint","0.0078125"
"Concertina","0.005859375"
"St. Simon","0.02734375"
"Comic Song","0.001953125"
"Lavendula","0.0234375"
"Sweet Lavender","0.01953125"
"Swynford","0.044921875"
"John o'Gaunt","0.017578125"
"Canterbury Pilgrim","0.033203125"
"Marchetta","0.009765625"
"Marco","0.005859375"
"Hettie Sorrel","0.0048828125"
"Blue Swords","0.015625"
"Blue Larkspur","0.015625"
"Black Servant","0.0078125"
"Black Toney","0.00390625"
"Peter Pan","0.0068359375"
"Belgravia","0.001953125"
"Padula","0.00390625"
"Laveno","0.001953125"
"Padua","0.001953125"
"Blossom Time","0.0078125"
"North Star","0.0078125"
"Angelic","0.00390625"
"Vaila","0.00390625"
"Fariman","0.001953125"
"Padilla","0.001953125"
"Flaming Swords","0.0078125"
"Man o'War","0.02734375"
"Fair Play","0.0234375"
"Hastings","0.0048828125"
"Fairy Gold","0.005859375"
"Mahubah","0.0126953125"
"Rock Sand","0.0126953125"
"Merry Token","0.00390625"
"Exalted","0.00390625"
"High Time","0.00390625"
"Ultimus","0.005859375"
"Noonday","0.001953125"
"Lady Comfey","0.0029296875"
"Roi Herode","0.005859375"
"Snoot","0.0009765625"
"Galla Colors","0.015625"
"Sir Gallahad","0.0166015625"
"Teddy","0.0234375"
"Ajax","0.013671875"
"Flying Fox","0.001953125"
"Amie","0.001953125"
"Rondeau","0.009765625"
"Bay Ronald","0.0126953125"
"Doremi","0.001953125"
"Rouge et Noir","0.0078125"
"St. Germans","0.00390625"
"Hamoaze","0.00390625"
"Torpoint","0.001953125"
"Baton Rouge","0.00390625"
"Baton","0.001953125"
"Hainault","0.0009765625"
"Batanoea","0.0009765625"
"Pharamond","0.01953125"
"Bona Vista","0.0009765625"
"Arcadia","0.0009765625"
"Maid Marian","0.0068359375"
"Hampton","0.001953125"
"Quiver","0.0009765625"
"Sainfoin","0.009765625"
"Springfield","0.0009765625"
"Sanda","0.0009765625"
"Cheery","0.0068359375"
"Sunrise","0.0009765625"
"Selene","0.0537109375"
"Galopin","0.00390625"
"St. Angela","0.0029296875"
"Tristan","0.0048828125"
"Pilgrimage","0.005859375"
"Serenissima","0.02734375"
"Minoru","0.0126953125"
"Mother Siegel","0.001953125"
"Gondolette","0.0166015625"
"Loved One","0.00390625"
"Dongola","0.00390625"
